Title,Url
Immigration and asylum  How the Covid pandemic has led to more Channel crossings ,https://www.theguardian.com/uk-news/video/2021/aug/19/how-covid-pandemic-has-led-more-channel-crossings-video-explainer
China's accidental feminist icon  'I left my abusive husband for a life on the road' ,https://www.theguardian.com/world/video/2021/sep/08/chinas-accidental-feminist-icon-i-left-my-abusive-husband-for-a-life-on-the-road-video
"This Body  Black America, hope, trust and Covid vaccine trials ",https://www.theguardian.com/global/video/2021/jul/29/this-body-black-america-hope-trust-and-covid-vaccine-trials-video
"Books  Akala, Bernardine Evaristo, Ben Okri and more pick 20 classics by writers of colour ",https://www.theguardian.com/books/2021/oct/03/akala-bernardine-evaristo-ben-okri-and-more-pick-20-classic-books-by-writers-of-colour
Fontaines DC review  Sparks fly for once-in-a-generation post-punk poets ,https://www.theguardian.com/music/2021/oct/03/fontaines-dc-review-sparks-fly-for-once-in-a-generation-post-punk-poets
"Sylvie Le Bon de Beauvoir   
                 
                  
                  My intimacy with Simone de Beauvoir was unique … it was love ",https://www.theguardian.com/books/2021/oct/03/simone-de-beauvoir-inseparables-sylvie-le-bon-de-beauvoir-daughter-interview
Turner prize 2021; Summer Exhibition 2021 review  There can be no winner ,https://www.theguardian.com/artanddesign/2021/oct/03/turner-prize-2021-summer-exhibition-2021-review-there-can-be-no-winner
"Sarah Solemani   
                   
                    
                    Fascists aren’t just monstrous robots. Understanding this might help us ",https://www.theguardian.com/tv-and-radio/2021/oct/03/sarah-solemani-fascists-arent-just-monstrous-robots-understanding-this-might-help-us
Dave and Goliath  Maverick writer makes stand against Amazon ,https://www.theguardian.com/books/2021/oct/03/dave-and-goliath-maverick-writer-eggers-makes-a-stand-against-amazon
Money  How fraudsters use forgotten details of your online life to reel you in ,https://www.theguardian.com/money/2021/oct/03/how-fraudsters-can-use-the-forgotten-details-of-your-online-life-to-reel-you-in
Crunch time  The 10 best places to celebrate Apple Day in Britain ,https://www.theguardian.com/travel/2021/oct/03/10-best-places-to-celebrate-apple-day-in-britain
"‘The best cheese toastie in town’   The Wigmore, London: – restaurant review ",https://www.theguardian.com/food/2021/oct/03/jay-rayner-restaurant-review-the-wigmore-london-the-best-cheese-toastie-in-town
"Ask Philippa  My grown-up granddaughter is rude and angry, I want her to apologise ",https://www.theguardian.com/lifeandstyle/2021/oct/03/my-granddaughter-is-angry-i-want-her-to-apologise-to-us
"Nigel Slater recipes  Goat’s cheese and figs, and black-eyed bean burgers ",https://www.theguardian.com/food/2021/oct/03/nigel-slaters-recipes-for-goats-cheese-and-figs-and-black-eyed-bean-burgers
"   
                   
                    
                    Paw Patrol is causing a rift between me and my young son ",https://www.theguardian.com/lifeandstyle/2021/oct/03/paw-patrol-is-causing-a-rift-between-me-and-my-young-son
Healthcare workers in the UK  Share your experiences of the pandemic ,https://www.theguardian.com/society/2020/dec/31/healthcare-workers-in-the-uk-share-your-experiences-during-the-second-wave-of-coronavirus
Environment  How has the climate crisis changed your home? ,https://www.theguardian.com/environment/2021/oct/02/climate-crisis-guardian-us-reader-callout
Tell us  Are you campaigning or volunteering with someone of a different generation? ,https://www.theguardian.com/society/2021/sep/29/tell-us-are-you-campaigning-or-volunteering-with-someone-of-a-different-generation
Money  How will you or your business be affected by the ending of the UK furlough scheme? ,https://www.theguardian.com/uk-news/2021/sep/29/tell-us-how-will-you-or-your-business-be-affected-by-the-ending-of-the-uk-furlough-scheme
Femicide  The 81 women killed in 28 weeks ,https://www.theguardian.com/society/2021/oct/02/the-81-women-killed-in-28-weeks
Stephanie Grisham  Trump turncoat who may be most damaging yet ,https://www.theguardian.com/books/2021/oct/03/stephanie-grisham-donald-trump-melania-book-abc-interview
‘Zoom dysmorphia’  Here to stay despite a return to the office ,https://www.theguardian.com/us-news/2021/oct/03/zoom-dysmorphia-covid-coronavirus-anxiety
‘It will be found’  Search for MH370 continues with experts and amateurs still sleuthing ,https://www.theguardian.com/world/2021/oct/03/it-will-be-found-search-for-mh370-continues-with-experts-and-amateurs-still-sleuthing
‘Only a few days to work with’  A south Texas abortion clinic strains under SB8’s tight deadline ,https://www.theguardian.com/us-news/2021/oct/03/sb8-south-texas-clinic-abortion-ban
‘This whole thing has become politicised’  Inside Missouri’s Covid culture wars ,https://www.theguardian.com/us-news/2021/oct/03/missouri-coronavirus-covid-culture-wars
The Guide Issue #2  Why smaller films need No Time to Die to succeed ,https://www.theguardian.com/culture/2021/oct/01/the-guide-2-james-bond-no-time-to-die
Inside Saturday  The best way to start the weekend ,https://www.theguardian.com/info/ng-interactive/2021/sep/14/inside-saturday-sign-up
Word of Mouth  Sign up for the best of Guardian Food every week ,https://www.theguardian.com/food/2019/jul/09/sign-up-for-word-of-mouth-the-best-of-guardian-food-every-week
The Fiver  Get the Guardian's daily football email ,https://www.theguardian.com/info/2016/jan/05/the-fiver-email-sign-up
The big picture  An epic journey along America’s poverty line ,https://www.theguardian.com/artanddesign/2021/oct/03/the-big-picture-american-geography-matt-black
My frame is true  New wave posters ,https://www.theguardian.com/artanddesign/gallery/2021/oct/02/punk-and-new-wave-posters-reversing-into-the-future-in-pictures
"Volcanoes, lightning, pelicans, polar bears  20 photographs of the week ",https://www.theguardian.com/artanddesign/gallery/2021/oct/01/twenty-photographs-of-the-week
Postwar Britain  The compassionate vision of photojournalist Colin Jones ,https://www.theguardian.com/artanddesign/gallery/2021/oct/02/the-compassionate-vision-of-photojournalist-colin-jones-in-pictures
Summation of Force  Capturing the magic of cricket  ,https://www.theguardian.com/artanddesign/gallery/2021/oct/01/summation-of-force-capturing-the-magic-of-cricket-in-pictures
"The best Observer original photographs  Anthony Joshua, Lashana Lynch and Arlo Parks ",https://www.theguardian.com/artanddesign/gallery/2021/oct/02/original-observer-photography
"  UK might not be over the worst, scientists warn, as Covid case numbers stay high ",https://www.theguardian.com/world/2021/oct/03/we-might-not-be-over-the-worst-scientists-warn-as-covid-case-numbers-stay-high
Live  Government to introduce six-month sentences and unlimited fines for protesters who block motorways – live ,https://www.theguardian.com/politics/live/2021/oct/03/boris-johnson-being-interviewed-by-andrew-marr-as-conservative-conference-opens-uk-politics-live
  Boris Johnson: petrol crisis and pig cull part of necessary post-Brexit transition ,https://www.theguardian.com/business/2021/oct/03/boris-johnson-petrol-crisis-and-pig-cull-part-of-necessary-post-brexit-transition
  Outcry in Brazil over photos of people scavenging through animal carcasses ,https://www.theguardian.com/world/2021/oct/03/outcry-in-brazil-over-photos-of-people-scavenging-through-animal-carcasses
"  My grown-up granddaughter is rude and angry, I want her to apologise ",https://www.theguardian.com/lifeandstyle/2021/oct/03/my-granddaughter-is-angry-i-want-her-to-apologise-to-us
  Albanian migrants to UK ‘would work for free’ to tackle fuel crisis ,https://www.theguardian.com/business/2021/oct/03/albanian-migrants-to-uk-would-work-for-free-to-tackle-fuel-crisis
Live  Covid live news: scientists warn UK may have worst to come; Israel tightens vaccine passport rules ,https://www.theguardian.com/world/live/2021/oct/03/covid-live-news-coronavirus-latest-updates-delta-lockdown
"  Two princesses, a royal dressmaker and a row about a wedding gown  ",https://www.theguardian.com/uk-news/2021/oct/03/two-princesses-a-royal-dressmaker-and-a-row-about-a-wedding-gown
"   
                   
                    
                    For his sake, and Britain’s, now is the time for Boris Johnson to ride off into the sunset ",https://www.theguardian.com/commentisfree/2021/oct/03/for-his-sake-and-britains-now-is-the-time-for-boris-johnson-to-ride-off-into-the-sunset
  Who scams the scammers? Meet the scambaiters ,https://www.theguardian.com/technology/2021/oct/03/who-scams-the-scammers-meet-the-amateur-scambaiters-taking-on-the-crooks
